N,CPU,Compilation Parameter,t(s)
10,2.7 GHz Intel Core i5 Dual-Core,None,0.000303983688354
20,2.7 GHz Intel Core i5 Dual-Core,None,0.00234889984131
30,2.7 GHz Intel Core i5 Dual-Core,None,0.00760293006897
40,2.7 GHz Intel Core i5 Dual-Core,None,0.0176100730896
50,2.7 GHz Intel Core i5 Dual-Core,None,0.0357019901276
60,2.7 GHz Intel Core i5 Dual-Core,None,0.0601389408112
70,2.7 GHz Intel Core i5 Dual-Core,None,0.0932381153107
80,2.7 GHz Intel Core i5 Dual-Core,None,0.140153169632
90,2.7 GHz Intel Core i5 Dual-Core,None,0.198656082153
100,2.7 GHz Intel Core i5 Dual-Core,None,0.285867929459
110,2.7 GHz Intel Core i5 Dual-Core,None,0.382427930832
120,2.7 GHz Intel Core i5 Dual-Core,None,0.473517894745
130,2.7 GHz Intel Core i5 Dual-Core,None,0.605432987213
140,2.7 GHz Intel Core i5 Dual-Core,None,0.763423919678
150,2.7 GHz Intel Core i5 Dual-Core,None,1.09069609642
160,2.7 GHz Intel Core i5 Dual-Core,None,1.2590379715
170,2.7 GHz Intel Core i5 Dual-Core,None,1.38925218582
180,2.7 GHz Intel Core i5 Dual-Core,None,1.65965104103
190,2.7 GHz Intel Core i5 Dual-Core,None,1.97431492805
200,2.7 GHz Intel Core i5 Dual-Core,None,2.3887720108
210,2.7 GHz Intel Core i5 Dual-Core,None,2.75510501862
220,2.7 GHz Intel Core i5 Dual-Core,None,3.20490407944
230,2.7 GHz Intel Core i5 Dual-Core,None,3.73226499557
240,2.7 GHz Intel Core i5 Dual-Core,None,4.2507121563
250,2.7 GHz Intel Core i5 Dual-Core,None,4.86718893051
260,2.7 GHz Intel Core i5 Dual-Core,None,5.55121898651
270,2.7 GHz Intel Core i5 Dual-Core,None,6.2792160511
280,2.7 GHz Intel Core i5 Dual-Core,None,7.09494900703
290,2.7 GHz Intel Core i5 Dual-Core,None,8.01770019531
300,2.7 GHz Intel Core i5 Dual-Core,None,8.85596704483
310,2.7 GHz Intel Core i5 Dual-Core,None,9.86706185341
320,2.7 GHz Intel Core i5 Dual-Core,None,10.9237089157
330,2.7 GHz Intel Core i5 Dual-Core,None,12.1012699604
340,2.7 GHz Intel Core i5 Dual-Core,None,13.2923769951
350,2.7 GHz Intel Core i5 Dual-Core,None,14.6160199642
360,2.7 GHz Intel Core i5 Dual-Core,None,16.0234341621
370,2.7 GHz Intel Core i5 Dual-Core,None,17.4340031147
380,2.7 GHz Intel Core i5 Dual-Core,None,19.1087610722
390,2.7 GHz Intel Core i5 Dual-Core,None,20.7150299549
400,2.7 GHz Intel Core i5 Dual-Core,None,22.4095489979
410,2.7 GHz Intel Core i5 Dual-Core,None,24.2462739944
420,2.7 GHz Intel Core i5 Dual-Core,None,26.3506159782
430,2.7 GHz Intel Core i5 Dual-Core,None,28.4077348709
440,2.7 GHz Intel Core i5 Dual-Core,None,33.5052649975
450,2.7 GHz Intel Core i5 Dual-Core,None,33.1147470474
460,2.7 GHz Intel Core i5 Dual-Core,None,36.234153986
470,2.7 GHz Intel Core i5 Dual-Core,None,39.1172220707
480,2.7 GHz Intel Core i5 Dual-Core,None,39.8817451
490,2.7 GHz Intel Core i5 Dual-Core,None,42.6406669617
