N,CPU,Compilation Parameter,t(s)
10,2.7 GHz Intel Core i5 Dual-Core,None,0.000312089920044
20,2.7 GHz Intel Core i5 Dual-Core,None,0.00224995613098
30,2.7 GHz Intel Core i5 Dual-Core,None,0.00745606422424
40,2.7 GHz Intel Core i5 Dual-Core,None,0.0223450660706
50,2.7 GHz Intel Core i5 Dual-Core,None,0.0335130691528
60,2.7 GHz Intel Core i5 Dual-Core,None,0.0592150688171
70,2.7 GHz Intel Core i5 Dual-Core,None,0.0995621681213
80,2.7 GHz Intel Core i5 Dual-Core,None,0.136956930161
90,2.7 GHz Intel Core i5 Dual-Core,None,0.194947004318
100,2.7 GHz Intel Core i5 Dual-Core,None,0.274059057236
110,2.7 GHz Intel Core i5 Dual-Core,None,0.368524074554
120,2.7 GHz Intel Core i5 Dual-Core,None,0.469844102859
130,2.7 GHz Intel Core i5 Dual-Core,None,0.589876890182
140,2.7 GHz Intel Core i5 Dual-Core,None,0.735237836838
150,2.7 GHz Intel Core i5 Dual-Core,None,0.966905117035
160,2.7 GHz Intel Core i5 Dual-Core,None,1.19784998894
170,2.7 GHz Intel Core i5 Dual-Core,None,1.34035897255
180,2.7 GHz Intel Core i5 Dual-Core,None,1.60280108452
190,2.7 GHz Intel Core i5 Dual-Core,None,1.90321588516
200,2.7 GHz Intel Core i5 Dual-Core,None,2.27617096901
210,2.7 GHz Intel Core i5 Dual-Core,None,2.56222295761
220,2.7 GHz Intel Core i5 Dual-Core,None,2.94569182396
230,2.7 GHz Intel Core i5 Dual-Core,None,3.40052986145
240,2.7 GHz Intel Core i5 Dual-Core,None,3.85509896278
250,2.7 GHz Intel Core i5 Dual-Core,None,4.39093589783
260,2.7 GHz Intel Core i5 Dual-Core,None,5.00126886368
270,2.7 GHz Intel Core i5 Dual-Core,None,5.68336200714
280,2.7 GHz Intel Core i5 Dual-Core,None,7.11212110519
290,2.7 GHz Intel Core i5 Dual-Core,None,7.96685504913
300,2.7 GHz Intel Core i5 Dual-Core,None,8.8672811985
310,2.7 GHz Intel Core i5 Dual-Core,None,11.8098371029
320,2.7 GHz Intel Core i5 Dual-Core,None,10.7210700512
330,2.7 GHz Intel Core i5 Dual-Core,None,12.0568380356
340,2.7 GHz Intel Core i5 Dual-Core,None,12.5614168644
350,2.7 GHz Intel Core i5 Dual-Core,None,15.0291929245
360,2.7 GHz Intel Core i5 Dual-Core,None,16.5698850155
370,2.7 GHz Intel Core i5 Dual-Core,None,17.0226027966
380,2.7 GHz Intel Core i5 Dual-Core,None,19.1608150005
390,2.7 GHz Intel Core i5 Dual-Core,None,20.4310209751
400,2.7 GHz Intel Core i5 Dual-Core,None,21.2493789196
410,2.7 GHz Intel Core i5 Dual-Core,None,23.1495528221
420,2.7 GHz Intel Core i5 Dual-Core,None,25.3365750313
430,2.7 GHz Intel Core i5 Dual-Core,None,27.682297945
440,2.7 GHz Intel Core i5 Dual-Core,None,27.4664430618
450,2.7 GHz Intel Core i5 Dual-Core,None,28.9397690296
460,2.7 GHz Intel Core i5 Dual-Core,None,29.5661149025
470,2.7 GHz Intel Core i5 Dual-Core,None,31.9477860928
480,2.7 GHz Intel Core i5 Dual-Core,None,33.72524786
490,2.7 GHz Intel Core i5 Dual-Core,None,35.6923658848
