N,CPU,Compilation Parameter,t(s)
1,2.7 GHz Intel Core i5 Dual-Core,O3,0.000001
2,2.7 GHz Intel Core i5 Dual-Core,O3,0.000002
3,2.7 GHz Intel Core i5 Dual-Core,O3,0.000000
4,2.7 GHz Intel Core i5 Dual-Core,O3,0.000000
5,2.7 GHz Intel Core i5 Dual-Core,O3,0.000001
6,2.7 GHz Intel Core i5 Dual-Core,O3,0.000000
7,2.7 GHz Intel Core i5 Dual-Core,O3,0.000004
8,2.7 GHz Intel Core i5 Dual-Core,O3,0.000002
9,2.7 GHz Intel Core i5 Dual-Core,O3,0.000001
10,2.7 GHz Intel Core i5 Dual-Core,O3,0.000001
11,2.7 GHz Intel Core i5 Dual-Core,O3,0.000003
12,2.7 GHz Intel Core i5 Dual-Core,O3,0.000002
13,2.7 GHz Intel Core i5 Dual-Core,O3,0.000002
14,2.7 GHz Intel Core i5 Dual-Core,O3,0.000004
15,2.7 GHz Intel Core i5 Dual-Core,O3,0.000003
16,2.7 GHz Intel Core i5 Dual-Core,O3,0.000004
17,2.7 GHz Intel Core i5 Dual-Core,O3,0.000004
18,2.7 GHz Intel Core i5 Dual-Core,O3,0.000004
19,2.7 GHz Intel Core i5 Dual-Core,O3,0.000007
20,2.7 GHz Intel Core i5 Dual-Core,O3,0.000009
21,2.7 GHz Intel Core i5 Dual-Core,O3,0.000008
22,2.7 GHz Intel Core i5 Dual-Core,O3,0.000011
23,2.7 GHz Intel Core i5 Dual-Core,O3,0.000009
24,2.7 GHz Intel Core i5 Dual-Core,O3,0.000010
25,2.7 GHz Intel Core i5 Dual-Core,O3,0.000013
26,2.7 GHz Intel Core i5 Dual-Core,O3,0.000015
27,2.7 GHz Intel Core i5 Dual-Core,O3,0.000019
28,2.7 GHz Intel Core i5 Dual-Core,O3,0.000026
29,2.7 GHz Intel Core i5 Dual-Core,O3,0.000019
30,2.7 GHz Intel Core i5 Dual-Core,O3,0.000026
31,2.7 GHz Intel Core i5 Dual-Core,O3,0.000030
32,2.7 GHz Intel Core i5 Dual-Core,O3,0.000036
33,2.7 GHz Intel Core i5 Dual-Core,O3,0.000039
34,2.7 GHz Intel Core i5 Dual-Core,O3,0.000030
35,2.7 GHz Intel Core i5 Dual-Core,O3,0.000035
36,2.7 GHz Intel Core i5 Dual-Core,O3,0.000038
37,2.7 GHz Intel Core i5 Dual-Core,O3,0.000047
38,2.7 GHz Intel Core i5 Dual-Core,O3,0.000043
39,2.7 GHz Intel Core i5 Dual-Core,O3,0.000048
40,2.7 GHz Intel Core i5 Dual-Core,O3,0.000051
41,2.7 GHz Intel Core i5 Dual-Core,O3,0.000062
42,2.7 GHz Intel Core i5 Dual-Core,O3,0.000069
43,2.7 GHz Intel Core i5 Dual-Core,O3,0.000064
44,2.7 GHz Intel Core i5 Dual-Core,O3,0.000067
45,2.7 GHz Intel Core i5 Dual-Core,O3,0.000084
46,2.7 GHz Intel Core i5 Dual-Core,O3,0.000079
47,2.7 GHz Intel Core i5 Dual-Core,O3,0.000085
48,2.7 GHz Intel Core i5 Dual-Core,O3,0.000113
49,2.7 GHz Intel Core i5 Dual-Core,O3,0.000108
50,2.7 GHz Intel Core i5 Dual-Core,O3,0.000113
51,2.7 GHz Intel Core i5 Dual-Core,O3,0.000110
52,2.7 GHz Intel Core i5 Dual-Core,O3,0.000127
53,2.7 GHz Intel Core i5 Dual-Core,O3,0.000124
54,2.7 GHz Intel Core i5 Dual-Core,O3,0.000131
55,2.7 GHz Intel Core i5 Dual-Core,O3,0.000153
56,2.7 GHz Intel Core i5 Dual-Core,O3,0.000166
57,2.7 GHz Intel Core i5 Dual-Core,O3,0.000159
58,2.7 GHz Intel Core i5 Dual-Core,O3,0.000165
59,2.7 GHz Intel Core i5 Dual-Core,O3,0.000252
60,2.7 GHz Intel Core i5 Dual-Core,O3,0.000239
61,2.7 GHz Intel Core i5 Dual-Core,O3,0.000203
62,2.7 GHz Intel Core i5 Dual-Core,O3,0.000189
63,2.7 GHz Intel Core i5 Dual-Core,O3,0.000262
64,2.7 GHz Intel Core i5 Dual-Core,O3,0.000485
65,2.7 GHz Intel Core i5 Dual-Core,O3,0.000301
66,2.7 GHz Intel Core i5 Dual-Core,O3,0.000270
67,2.7 GHz Intel Core i5 Dual-Core,O3,0.000292
68,2.7 GHz Intel Core i5 Dual-Core,O3,0.000327
69,2.7 GHz Intel Core i5 Dual-Core,O3,0.000305
70,2.7 GHz Intel Core i5 Dual-Core,O3,0.000433
71,2.7 GHz Intel Core i5 Dual-Core,O3,0.000492
72,2.7 GHz Intel Core i5 Dual-Core,O3,0.000463
73,2.7 GHz Intel Core i5 Dual-Core,O3,0.000378
74,2.7 GHz Intel Core i5 Dual-Core,O3,0.000575
75,2.7 GHz Intel Core i5 Dual-Core,O3,0.000486
76,2.7 GHz Intel Core i5 Dual-Core,O3,0.000565
77,2.7 GHz Intel Core i5 Dual-Core,O3,0.000470
78,2.7 GHz Intel Core i5 Dual-Core,O3,0.000496
79,2.7 GHz Intel Core i5 Dual-Core,O3,0.001363
80,2.7 GHz Intel Core i5 Dual-Core,O3,0.001357
81,2.7 GHz Intel Core i5 Dual-Core,O3,0.000469
82,2.7 GHz Intel Core i5 Dual-Core,O3,0.000497
83,2.7 GHz Intel Core i5 Dual-Core,O3,0.000483
84,2.7 GHz Intel Core i5 Dual-Core,O3,0.000489
85,2.7 GHz Intel Core i5 Dual-Core,O3,0.000556
86,2.7 GHz Intel Core i5 Dual-Core,O3,0.000557
87,2.7 GHz Intel Core i5 Dual-Core,O3,0.000554
88,2.7 GHz Intel Core i5 Dual-Core,O3,0.000720
89,2.7 GHz Intel Core i5 Dual-Core,O3,0.000999
90,2.7 GHz Intel Core i5 Dual-Core,O3,0.001907
91,2.7 GHz Intel Core i5 Dual-Core,O3,0.001910
92,2.7 GHz Intel Core i5 Dual-Core,O3,0.001990
93,2.7 GHz Intel Core i5 Dual-Core,O3,0.001964
94,2.7 GHz Intel Core i5 Dual-Core,O3,0.000826
95,2.7 GHz Intel Core i5 Dual-Core,O3,0.000727
96,2.7 GHz Intel Core i5 Dual-Core,O3,0.000853
97,2.7 GHz Intel Core i5 Dual-Core,O3,0.000839
98,2.7 GHz Intel Core i5 Dual-Core,O3,0.000793
99,2.7 GHz Intel Core i5 Dual-Core,O3,0.000893
100,2.7 GHz Intel Core i5 Dual-Core,O3,0.000886
101,2.7 GHz Intel Core i5 Dual-Core,O3,0.000877
102,2.7 GHz Intel Core i5 Dual-Core,O3,0.000957
103,2.7 GHz Intel Core i5 Dual-Core,O3,0.000927
104,2.7 GHz Intel Core i5 Dual-Core,O3,0.001065
105,2.7 GHz Intel Core i5 Dual-Core,O3,0.000995
106,2.7 GHz Intel Core i5 Dual-Core,O3,0.001094
107,2.7 GHz Intel Core i5 Dual-Core,O3,0.001135
108,2.7 GHz Intel Core i5 Dual-Core,O3,0.001079
109,2.7 GHz Intel Core i5 Dual-Core,O3,0.001182
110,2.7 GHz Intel Core i5 Dual-Core,O3,0.001141
111,2.7 GHz Intel Core i5 Dual-Core,O3,0.001260
112,2.7 GHz Intel Core i5 Dual-Core,O3,0.001293
113,2.7 GHz Intel Core i5 Dual-Core,O3,0.001265
114,2.7 GHz Intel Core i5 Dual-Core,O3,0.001336
115,2.7 GHz Intel Core i5 Dual-Core,O3,0.001315
116,2.7 GHz Intel Core i5 Dual-Core,O3,0.001404
117,2.7 GHz Intel Core i5 Dual-Core,O3,0.001392
118,2.7 GHz Intel Core i5 Dual-Core,O3,0.001483
119,2.7 GHz Intel Core i5 Dual-Core,O3,0.001462
120,2.7 GHz Intel Core i5 Dual-Core,O3,0.001633
121,2.7 GHz Intel Core i5 Dual-Core,O3,0.001551
122,2.7 GHz Intel Core i5 Dual-Core,O3,0.001680
123,2.7 GHz Intel Core i5 Dual-Core,O3,0.001624
124,2.7 GHz Intel Core i5 Dual-Core,O3,0.001799
125,2.7 GHz Intel Core i5 Dual-Core,O3,0.001722
126,2.7 GHz Intel Core i5 Dual-Core,O3,0.001859
127,2.7 GHz Intel Core i5 Dual-Core,O3,0.001799
128,2.7 GHz Intel Core i5 Dual-Core,O3,0.002150
129,2.7 GHz Intel Core i5 Dual-Core,O3,0.002245
130,2.7 GHz Intel Core i5 Dual-Core,O3,0.002427
131,2.7 GHz Intel Core i5 Dual-Core,O3,0.002196
132,2.7 GHz Intel Core i5 Dual-Core,O3,0.002152
133,2.7 GHz Intel Core i5 Dual-Core,O3,0.002094
134,2.7 GHz Intel Core i5 Dual-Core,O3,0.002268
135,2.7 GHz Intel Core i5 Dual-Core,O3,0.002191
136,2.7 GHz Intel Core i5 Dual-Core,O3,0.002418
137,2.7 GHz Intel Core i5 Dual-Core,O3,0.002414
138,2.7 GHz Intel Core i5 Dual-Core,O3,0.002466
139,2.7 GHz Intel Core i5 Dual-Core,O3,0.002377
140,2.7 GHz Intel Core i5 Dual-Core,O3,0.002558
141,2.7 GHz Intel Core i5 Dual-Core,O3,0.002516
142,2.7 GHz Intel Core i5 Dual-Core,O3,0.002621
143,2.7 GHz Intel Core i5 Dual-Core,O3,0.002593
144,2.7 GHz Intel Core i5 Dual-Core,O3,0.002873
145,2.7 GHz Intel Core i5 Dual-Core,O3,0.002830
146,2.7 GHz Intel Core i5 Dual-Core,O3,0.002785
147,2.7 GHz Intel Core i5 Dual-Core,O3,0.002956
148,2.7 GHz Intel Core i5 Dual-Core,O3,0.002931
149,2.7 GHz Intel Core i5 Dual-Core,O3,0.003059
150,2.7 GHz Intel Core i5 Dual-Core,O3,0.003046
151,2.7 GHz Intel Core i5 Dual-Core,O3,0.003221
152,2.7 GHz Intel Core i5 Dual-Core,O3,0.003300
153,2.7 GHz Intel Core i5 Dual-Core,O3,0.003236
154,2.7 GHz Intel Core i5 Dual-Core,O3,0.003397
155,2.7 GHz Intel Core i5 Dual-Core,O3,0.003396
156,2.7 GHz Intel Core i5 Dual-Core,O3,0.003538
157,2.7 GHz Intel Core i5 Dual-Core,O3,0.003615
158,2.7 GHz Intel Core i5 Dual-Core,O3,0.003574
159,2.7 GHz Intel Core i5 Dual-Core,O3,0.003798
160,2.7 GHz Intel Core i5 Dual-Core,O3,0.004084
161,2.7 GHz Intel Core i5 Dual-Core,O3,0.003948
162,2.7 GHz Intel Core i5 Dual-Core,O3,0.004040
163,2.7 GHz Intel Core i5 Dual-Core,O3,0.003982
164,2.7 GHz Intel Core i5 Dual-Core,O3,0.004203
165,2.7 GHz Intel Core i5 Dual-Core,O3,0.004241
166,2.7 GHz Intel Core i5 Dual-Core,O3,0.004220
167,2.7 GHz Intel Core i5 Dual-Core,O3,0.004432
168,2.7 GHz Intel Core i5 Dual-Core,O3,0.004538
169,2.7 GHz Intel Core i5 Dual-Core,O3,0.004481
170,2.7 GHz Intel Core i5 Dual-Core,O3,0.004681
171,2.7 GHz Intel Core i5 Dual-Core,O3,0.004856
172,2.7 GHz Intel Core i5 Dual-Core,O3,0.004750
173,2.7 GHz Intel Core i5 Dual-Core,O3,0.004991
174,2.7 GHz Intel Core i5 Dual-Core,O3,0.005042
175,2.7 GHz Intel Core i5 Dual-Core,O3,0.005029
176,2.7 GHz Intel Core i5 Dual-Core,O3,0.005368
177,2.7 GHz Intel Core i5 Dual-Core,O3,0.005362
178,2.7 GHz Intel Core i5 Dual-Core,O3,0.005308
179,2.7 GHz Intel Core i5 Dual-Core,O3,0.005541
180,2.7 GHz Intel Core i5 Dual-Core,O3,0.005654
181,2.7 GHz Intel Core i5 Dual-Core,O3,0.005573
182,2.7 GHz Intel Core i5 Dual-Core,O3,0.005820
183,2.7 GHz Intel Core i5 Dual-Core,O3,0.006024
184,2.7 GHz Intel Core i5 Dual-Core,O3,0.006047
185,2.7 GHz Intel Core i5 Dual-Core,O3,0.005991
186,2.7 GHz Intel Core i5 Dual-Core,O3,0.006226
187,2.7 GHz Intel Core i5 Dual-Core,O3,0.006364
188,2.7 GHz Intel Core i5 Dual-Core,O3,0.006463
189,2.7 GHz Intel Core i5 Dual-Core,O3,0.006409
190,2.7 GHz Intel Core i5 Dual-Core,O3,0.006663
191,2.7 GHz Intel Core i5 Dual-Core,O3,0.006755
192,2.7 GHz Intel Core i5 Dual-Core,O3,0.007358
193,2.7 GHz Intel Core i5 Dual-Core,O3,0.006980
194,2.7 GHz Intel Core i5 Dual-Core,O3,0.007075
195,2.7 GHz Intel Core i5 Dual-Core,O3,0.007240
196,2.7 GHz Intel Core i5 Dual-Core,O3,0.007321
197,2.7 GHz Intel Core i5 Dual-Core,O3,0.007703
198,2.7 GHz Intel Core i5 Dual-Core,O3,0.007524
199,2.7 GHz Intel Core i5 Dual-Core,O3,0.007756
200,2.7 GHz Intel Core i5 Dual-Core,O3,0.007980
201,2.7 GHz Intel Core i5 Dual-Core,O3,0.007808
202,2.7 GHz Intel Core i5 Dual-Core,O3,0.008022
203,2.7 GHz Intel Core i5 Dual-Core,O3,0.008153
204,2.7 GHz Intel Core i5 Dual-Core,O3,0.008310
205,2.7 GHz Intel Core i5 Dual-Core,O3,0.010526
206,2.7 GHz Intel Core i5 Dual-Core,O3,0.013268
207,2.7 GHz Intel Core i5 Dual-Core,O3,0.008909
208,2.7 GHz Intel Core i5 Dual-Core,O3,0.008949
209,2.7 GHz Intel Core i5 Dual-Core,O3,0.008924
210,2.7 GHz Intel Core i5 Dual-Core,O3,0.009007
211,2.7 GHz Intel Core i5 Dual-Core,O3,0.009124
212,2.7 GHz Intel Core i5 Dual-Core,O3,0.009268
213,2.7 GHz Intel Core i5 Dual-Core,O3,0.009626
214,2.7 GHz Intel Core i5 Dual-Core,O3,0.009757
215,2.7 GHz Intel Core i5 Dual-Core,O3,0.009910
216,2.7 GHz Intel Core i5 Dual-Core,O3,0.009836
217,2.7 GHz Intel Core i5 Dual-Core,O3,0.009715
218,2.7 GHz Intel Core i5 Dual-Core,O3,0.010092
219,2.7 GHz Intel Core i5 Dual-Core,O3,0.010300
220,2.7 GHz Intel Core i5 Dual-Core,O3,0.010432
221,2.7 GHz Intel Core i5 Dual-Core,O3,0.010538
222,2.7 GHz Intel Core i5 Dual-Core,O3,0.010671
223,2.7 GHz Intel Core i5 Dual-Core,O3,0.010801
224,2.7 GHz Intel Core i5 Dual-Core,O3,0.011537
225,2.7 GHz Intel Core i5 Dual-Core,O3,0.011227
226,2.7 GHz Intel Core i5 Dual-Core,O3,0.011341
227,2.7 GHz Intel Core i5 Dual-Core,O3,0.011438
228,2.7 GHz Intel Core i5 Dual-Core,O3,0.011613
229,2.7 GHz Intel Core i5 Dual-Core,O3,0.011718
230,2.7 GHz Intel Core i5 Dual-Core,O3,0.011866
231,2.7 GHz Intel Core i5 Dual-Core,O3,0.012141
232,2.7 GHz Intel Core i5 Dual-Core,O3,0.012260
233,2.7 GHz Intel Core i5 Dual-Core,O3,0.012429
234,2.7 GHz Intel Core i5 Dual-Core,O3,0.012340
235,2.7 GHz Intel Core i5 Dual-Core,O3,0.012698
236,2.7 GHz Intel Core i5 Dual-Core,O3,0.012867
237,2.7 GHz Intel Core i5 Dual-Core,O3,0.013406
238,2.7 GHz Intel Core i5 Dual-Core,O3,0.013418
239,2.7 GHz Intel Core i5 Dual-Core,O3,0.013484
240,2.7 GHz Intel Core i5 Dual-Core,O3,0.014805
241,2.7 GHz Intel Core i5 Dual-Core,O3,0.014629
242,2.7 GHz Intel Core i5 Dual-Core,O3,0.015073
243,2.7 GHz Intel Core i5 Dual-Core,O3,0.015179
244,2.7 GHz Intel Core i5 Dual-Core,O3,0.015350
245,2.7 GHz Intel Core i5 Dual-Core,O3,0.015701
