N,CPU,Compilation Parameter,t(s)
10,2,7 GHz Intel Core i5 Dual-Core,O2,0.000002
20,2,7 GHz Intel Core i5 Dual-Core,O2,0.000007
30,2,7 GHz Intel Core i5 Dual-Core,O2,0.000022
40,2,7 GHz Intel Core i5 Dual-Core,O2,0.000058
50,2,7 GHz Intel Core i5 Dual-Core,O2,0.000153
60,2,7 GHz Intel Core i5 Dual-Core,O2,0.000214
70,2,7 GHz Intel Core i5 Dual-Core,O2,0.000331
80,2,7 GHz Intel Core i5 Dual-Core,O2,0.000551
90,2,7 GHz Intel Core i5 Dual-Core,O2,0.000708
100,2,7 GHz Intel Core i5 Dual-Core,O2,0.000986
110,2,7 GHz Intel Core i5 Dual-Core,O2,0.001255
120,2,7 GHz Intel Core i5 Dual-Core,O2,0.001639
130,2,7 GHz Intel Core i5 Dual-Core,O2,0.002013
140,2,7 GHz Intel Core i5 Dual-Core,O2,0.002557
150,2,7 GHz Intel Core i5 Dual-Core,O2,0.002989
160,2,7 GHz Intel Core i5 Dual-Core,O2,0.004193
170,2,7 GHz Intel Core i5 Dual-Core,O2,0.004568
180,2,7 GHz Intel Core i5 Dual-Core,O2,0.005476
190,2,7 GHz Intel Core i5 Dual-Core,O2,0.006504
200,2,7 GHz Intel Core i5 Dual-Core,O2,0.007688
210,2,7 GHz Intel Core i5 Dual-Core,O2,0.008839
220,2,7 GHz Intel Core i5 Dual-Core,O2,0.010450
230,2,7 GHz Intel Core i5 Dual-Core,O2,0.013240
240,2,7 GHz Intel Core i5 Dual-Core,O2,0.014079
250,2,7 GHz Intel Core i5 Dual-Core,O2,0.015307
260,2,7 GHz Intel Core i5 Dual-Core,O2,0.017130
270,2,7 GHz Intel Core i5 Dual-Core,O2,0.019334
280,2,7 GHz Intel Core i5 Dual-Core,O2,0.021678
290,2,7 GHz Intel Core i5 Dual-Core,O2,0.023412
300,2,7 GHz Intel Core i5 Dual-Core,O2,0.026114
310,2,7 GHz Intel Core i5 Dual-Core,O2,0.028919
320,2,7 GHz Intel Core i5 Dual-Core,O2,0.037767
330,2,7 GHz Intel Core i5 Dual-Core,O2,0.036391
340,2,7 GHz Intel Core i5 Dual-Core,O2,0.038291
350,2,7 GHz Intel Core i5 Dual-Core,O2,0.041829
360,2,7 GHz Intel Core i5 Dual-Core,O2,0.045476
370,2,7 GHz Intel Core i5 Dual-Core,O2,0.049378
380,2,7 GHz Intel Core i5 Dual-Core,O2,0.054715
390,2,7 GHz Intel Core i5 Dual-Core,O2,0.057803
400,2,7 GHz Intel Core i5 Dual-Core,O2,0.066666
410,2,7 GHz Intel Core i5 Dual-Core,O2,0.067129
420,2,7 GHz Intel Core i5 Dual-Core,O2,0.072209
430,2,7 GHz Intel Core i5 Dual-Core,O2,0.078209
440,2,7 GHz Intel Core i5 Dual-Core,O2,0.083652
450,2,7 GHz Intel Core i5 Dual-Core,O2,0.094228
460,2,7 GHz Intel Core i5 Dual-Core,O2,0.096851
470,2,7 GHz Intel Core i5 Dual-Core,O2,0.103118
480,2,7 GHz Intel Core i5 Dual-Core,O2,0.117302
490,2,7 GHz Intel Core i5 Dual-Core,O2,0.117828
500,2,7 GHz Intel Core i5 Dual-Core,O2,0.132433
