N,CPU,Compilation Parameter,t(s)
10,2.7 GHz Intel Core i5 Dual-Core,Python,0.000383138656616
20,2.7 GHz Intel Core i5 Dual-Core,Python,0.00277090072632
30,2.7 GHz Intel Core i5 Dual-Core,Python,0.0100069046021
40,2.7 GHz Intel Core i5 Dual-Core,Python,0.0209100246429
50,2.7 GHz Intel Core i5 Dual-Core,Python,0.039929151535
60,2.7 GHz Intel Core i5 Dual-Core,Python,0.0902681350708
70,2.7 GHz Intel Core i5 Dual-Core,Python,0.117048978806
80,2.7 GHz Intel Core i5 Dual-Core,Python,0.168877124786
90,2.7 GHz Intel Core i5 Dual-Core,Python,0.231790065765
100,2.7 GHz Intel Core i5 Dual-Core,Python,0.339744091034
110,2.7 GHz Intel Core i5 Dual-Core,Python,0.438374996185
120,2.7 GHz Intel Core i5 Dual-Core,Python,0.550543069839
130,2.7 GHz Intel Core i5 Dual-Core,Python,0.7163169384
140,2.7 GHz Intel Core i5 Dual-Core,Python,0.873907089233
150,2.7 GHz Intel Core i5 Dual-Core,Python,1.12508106232
160,2.7 GHz Intel Core i5 Dual-Core,Python,1.37954211235
170,2.7 GHz Intel Core i5 Dual-Core,Python,2.12711596489
180,2.7 GHz Intel Core i5 Dual-Core,Python,2.77568101883
190,2.7 GHz Intel Core i5 Dual-Core,Python,3.20719218254
200,2.7 GHz Intel Core i5 Dual-Core,Python,4.4928920269
210,2.7 GHz Intel Core i5 Dual-Core,Python,3.27762103081
220,2.7 GHz Intel Core i5 Dual-Core,Python,3.44069004059
230,2.7 GHz Intel Core i5 Dual-Core,Python,5.50800514221
240,2.7 GHz Intel Core i5 Dual-Core,Python,10.5156040192
250,2.7 GHz Intel Core i5 Dual-Core,Python,10.6314339638
260,2.7 GHz Intel Core i5 Dual-Core,Python,6.99185395241
270,2.7 GHz Intel Core i5 Dual-Core,Python,9.33392000198
280,2.7 GHz Intel Core i5 Dual-Core,Python,9.71989417076
290,2.7 GHz Intel Core i5 Dual-Core,Python,10.192070961
300,2.7 GHz Intel Core i5 Dual-Core,Python,10.3895459175
310,2.7 GHz Intel Core i5 Dual-Core,Python,11.0361289978
320,2.7 GHz Intel Core i5 Dual-Core,Python,10.8946661949
330,2.7 GHz Intel Core i5 Dual-Core,Python,11.920746088
340,2.7 GHz Intel Core i5 Dual-Core,Python,13.7776801586
350,2.7 GHz Intel Core i5 Dual-Core,Python,13.7714672089
360,2.7 GHz Intel Core i5 Dual-Core,Python,15.2314798832
370,2.7 GHz Intel Core i5 Dual-Core,Python,17.2523679733
380,2.7 GHz Intel Core i5 Dual-Core,Python,22.7741510868
390,2.7 GHz Intel Core i5 Dual-Core,Python,19.5387380123
400,2.7 GHz Intel Core i5 Dual-Core,Python,20.7096049786
410,2.7 GHz Intel Core i5 Dual-Core,Python,22.4288959503
420,2.7 GHz Intel Core i5 Dual-Core,Python,24.052025795
430,2.7 GHz Intel Core i5 Dual-Core,Python,25.5616371632
440,2.7 GHz Intel Core i5 Dual-Core,Python,27.6382040977
450,2.7 GHz Intel Core i5 Dual-Core,Python,30.0603709221
460,2.7 GHz Intel Core i5 Dual-Core,Python,32.0694260597
470,2.7 GHz Intel Core i5 Dual-Core,Python,33.6683738232
480,2.7 GHz Intel Core i5 Dual-Core,Python,35.904405117
490,2.7 GHz Intel Core i5 Dual-Core,Python,42.2214870453
