N,CPU,Compilation Parameter,t(s)
1,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
2,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
3,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
4,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
5,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
6,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
7,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
8,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
9,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
10,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
11,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
12,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
13,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
14,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
15,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
16,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
17,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
18,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
19,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
20,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
21,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
22,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
23,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
24,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
25,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
26,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
27,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
28,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
29,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
30,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
31,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
32,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
33,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
34,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
35,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
36,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
37,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
38,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
39,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
40,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
41,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
42,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
43,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
44,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
45,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
46,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
47,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
48,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
49,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
50,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
51,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
52,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
53,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
54,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
55,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
56,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
57,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
58,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
59,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
60,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
61,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
62,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
63,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
64,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
65,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
66,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
67,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
68,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
69,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
70,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
71,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
72,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
73,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
74,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
75,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
76,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
77,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
78,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
79,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
80,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
81,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
82,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
83,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
84,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
85,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
86,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
87,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
88,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
89,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
90,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
91,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
92,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
93,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
94,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
95,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
96,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
97,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
98,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
99,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
100,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
101,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
102,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
103,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
104,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
105,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
106,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
107,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
108,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
109,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
110,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
111,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
112,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
113,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
114,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
115,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
116,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
117,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
118,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
119,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
120,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
121,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
122,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
123,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
124,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
125,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
126,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
127,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
128,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
129,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
130,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
131,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
132,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
133,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
134,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
135,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
136,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
137,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
138,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
139,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
140,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
141,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
142,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
143,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
144,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
145,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
146,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
147,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
148,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
149,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
150,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
151,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
152,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
153,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
154,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
155,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
156,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
157,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
158,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
159,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
160,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
161,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
162,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
163,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
164,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
165,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
166,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
167,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
168,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
169,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
170,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
171,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
172,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
173,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
