N,CPU,Compilation Parameter,t(s)
1,2.7 GHz Intel Core i5 Dual-Core,O2,0.000003
2,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
3,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
4,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
5,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
6,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
7,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
8,2.7 GHz Intel Core i5 Dual-Core,O2,0.000000
9,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
10,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
11,2.7 GHz Intel Core i5 Dual-Core,O2,0.000001
12,2.7 GHz Intel Core i5 Dual-Core,O2,0.000002
13,2.7 GHz Intel Core i5 Dual-Core,O2,0.000008
14,2.7 GHz Intel Core i5 Dual-Core,O2,0.000008
15,2.7 GHz Intel Core i5 Dual-Core,O2,0.000009
16,2.7 GHz Intel Core i5 Dual-Core,O2,0.000005
17,2.7 GHz Intel Core i5 Dual-Core,O2,0.000010
18,2.7 GHz Intel Core i5 Dual-Core,O2,0.000011
19,2.7 GHz Intel Core i5 Dual-Core,O2,0.000005
20,2.7 GHz Intel Core i5 Dual-Core,O2,0.000011
21,2.7 GHz Intel Core i5 Dual-Core,O2,0.000016
22,2.7 GHz Intel Core i5 Dual-Core,O2,0.000010
23,2.7 GHz Intel Core i5 Dual-Core,O2,0.000021
24,2.7 GHz Intel Core i5 Dual-Core,O2,0.000027
25,2.7 GHz Intel Core i5 Dual-Core,O2,0.000020
26,2.7 GHz Intel Core i5 Dual-Core,O2,0.000018
27,2.7 GHz Intel Core i5 Dual-Core,O2,0.000028
28,2.7 GHz Intel Core i5 Dual-Core,O2,0.000030
29,2.7 GHz Intel Core i5 Dual-Core,O2,0.000025
30,2.7 GHz Intel Core i5 Dual-Core,O2,0.000023
31,2.7 GHz Intel Core i5 Dual-Core,O2,0.000033
32,2.7 GHz Intel Core i5 Dual-Core,O2,0.000052
33,2.7 GHz Intel Core i5 Dual-Core,O2,0.000054
34,2.7 GHz Intel Core i5 Dual-Core,O2,0.000061
35,2.7 GHz Intel Core i5 Dual-Core,O2,0.000049
36,2.7 GHz Intel Core i5 Dual-Core,O2,0.000054
37,2.7 GHz Intel Core i5 Dual-Core,O2,0.000061
38,2.7 GHz Intel Core i5 Dual-Core,O2,0.000072
39,2.7 GHz Intel Core i5 Dual-Core,O2,0.000144
40,2.7 GHz Intel Core i5 Dual-Core,O2,0.000120
41,2.7 GHz Intel Core i5 Dual-Core,O2,0.000090
42,2.7 GHz Intel Core i5 Dual-Core,O2,0.000080
43,2.7 GHz Intel Core i5 Dual-Core,O2,0.000216
44,2.7 GHz Intel Core i5 Dual-Core,O2,0.000248
45,2.7 GHz Intel Core i5 Dual-Core,O2,0.000092
46,2.7 GHz Intel Core i5 Dual-Core,O2,0.000128
47,2.7 GHz Intel Core i5 Dual-Core,O2,0.000233
48,2.7 GHz Intel Core i5 Dual-Core,O2,0.000141
49,2.7 GHz Intel Core i5 Dual-Core,O2,0.000139
50,2.7 GHz Intel Core i5 Dual-Core,O2,0.000255
51,2.7 GHz Intel Core i5 Dual-Core,O2,0.000159
52,2.7 GHz Intel Core i5 Dual-Core,O2,0.000156
53,2.7 GHz Intel Core i5 Dual-Core,O2,0.000172
54,2.7 GHz Intel Core i5 Dual-Core,O2,0.000190
55,2.7 GHz Intel Core i5 Dual-Core,O2,0.000233
56,2.7 GHz Intel Core i5 Dual-Core,O2,0.000191
57,2.7 GHz Intel Core i5 Dual-Core,O2,0.000609
58,2.7 GHz Intel Core i5 Dual-Core,O2,0.000210
59,2.7 GHz Intel Core i5 Dual-Core,O2,0.000255
60,2.7 GHz Intel Core i5 Dual-Core,O2,0.000624
61,2.7 GHz Intel Core i5 Dual-Core,O2,0.000246
62,2.7 GHz Intel Core i5 Dual-Core,O2,0.000294
63,2.7 GHz Intel Core i5 Dual-Core,O2,0.000262
64,2.7 GHz Intel Core i5 Dual-Core,O2,0.000376
65,2.7 GHz Intel Core i5 Dual-Core,O2,0.000290
66,2.7 GHz Intel Core i5 Dual-Core,O2,0.000461
67,2.7 GHz Intel Core i5 Dual-Core,O2,0.000306
68,2.7 GHz Intel Core i5 Dual-Core,O2,0.000316
69,2.7 GHz Intel Core i5 Dual-Core,O2,0.000425
70,2.7 GHz Intel Core i5 Dual-Core,O2,0.000378
71,2.7 GHz Intel Core i5 Dual-Core,O2,0.000370
72,2.7 GHz Intel Core i5 Dual-Core,O2,0.000469
73,2.7 GHz Intel Core i5 Dual-Core,O2,0.000427
74,2.7 GHz Intel Core i5 Dual-Core,O2,0.000428
75,2.7 GHz Intel Core i5 Dual-Core,O2,0.000448
76,2.7 GHz Intel Core i5 Dual-Core,O2,0.000432
77,2.7 GHz Intel Core i5 Dual-Core,O2,0.000610
78,2.7 GHz Intel Core i5 Dual-Core,O2,0.000867
79,2.7 GHz Intel Core i5 Dual-Core,O2,0.000518
80,2.7 GHz Intel Core i5 Dual-Core,O2,0.000549
81,2.7 GHz Intel Core i5 Dual-Core,O2,0.001233
82,2.7 GHz Intel Core i5 Dual-Core,O2,0.000577
83,2.7 GHz Intel Core i5 Dual-Core,O2,0.000734
84,2.7 GHz Intel Core i5 Dual-Core,O2,0.000619
85,2.7 GHz Intel Core i5 Dual-Core,O2,0.000762
86,2.7 GHz Intel Core i5 Dual-Core,O2,0.000729
87,2.7 GHz Intel Core i5 Dual-Core,O2,0.000669
88,2.7 GHz Intel Core i5 Dual-Core,O2,0.000714
89,2.7 GHz Intel Core i5 Dual-Core,O2,0.000775
90,2.7 GHz Intel Core i5 Dual-Core,O2,0.000735
91,2.7 GHz Intel Core i5 Dual-Core,O2,0.001042
92,2.7 GHz Intel Core i5 Dual-Core,O2,0.000761
93,2.7 GHz Intel Core i5 Dual-Core,O2,0.001039
94,2.7 GHz Intel Core i5 Dual-Core,O2,0.002090
95,2.7 GHz Intel Core i5 Dual-Core,O2,0.000836
96,2.7 GHz Intel Core i5 Dual-Core,O2,0.001193
97,2.7 GHz Intel Core i5 Dual-Core,O2,0.000898
98,2.7 GHz Intel Core i5 Dual-Core,O2,0.001086
99,2.7 GHz Intel Core i5 Dual-Core,O2,0.001045
100,2.7 GHz Intel Core i5 Dual-Core,O2,0.001041
