N,CPU,Compilation Parameter,t(s)
1,2.7 GHz Intel Core i5 Dual-Core,O3,0.000002
2,2.7 GHz Intel Core i5 Dual-Core,O3,0.000002
3,2.7 GHz Intel Core i5 Dual-Core,O3,0.000006
4,2.7 GHz Intel Core i5 Dual-Core,O3,0.000010
5,2.7 GHz Intel Core i5 Dual-Core,O3,0.000013
6,2.7 GHz Intel Core i5 Dual-Core,O3,0.000018
7,2.7 GHz Intel Core i5 Dual-Core,O3,0.000024
8,2.7 GHz Intel Core i5 Dual-Core,O3,0.000035
9,2.7 GHz Intel Core i5 Dual-Core,O3,0.000047
10,2.7 GHz Intel Core i5 Dual-Core,O3,0.000071
11,2.7 GHz Intel Core i5 Dual-Core,O3,0.000066
12,2.7 GHz Intel Core i5 Dual-Core,O3,0.000079
13,2.7 GHz Intel Core i5 Dual-Core,O3,0.000123
14,2.7 GHz Intel Core i5 Dual-Core,O3,0.000113
15,2.7 GHz Intel Core i5 Dual-Core,O3,0.000142
16,2.7 GHz Intel Core i5 Dual-Core,O3,0.000161
17,2.7 GHz Intel Core i5 Dual-Core,O3,0.000170
18,2.7 GHz Intel Core i5 Dual-Core,O3,0.000181
19,2.7 GHz Intel Core i5 Dual-Core,O3,0.000199
20,2.7 GHz Intel Core i5 Dual-Core,O3,0.000230
21,2.7 GHz Intel Core i5 Dual-Core,O3,0.000250
22,2.7 GHz Intel Core i5 Dual-Core,O3,0.000285
23,2.7 GHz Intel Core i5 Dual-Core,O3,0.000300
24,2.7 GHz Intel Core i5 Dual-Core,O3,0.000327
25,2.7 GHz Intel Core i5 Dual-Core,O3,0.000346
26,2.7 GHz Intel Core i5 Dual-Core,O3,0.000358
27,2.7 GHz Intel Core i5 Dual-Core,O3,0.000387
28,2.7 GHz Intel Core i5 Dual-Core,O3,0.000417
29,2.7 GHz Intel Core i5 Dual-Core,O3,0.000448
30,2.7 GHz Intel Core i5 Dual-Core,O3,0.000564
31,2.7 GHz Intel Core i5 Dual-Core,O3,0.000508
32,2.7 GHz Intel Core i5 Dual-Core,O3,0.000531
33,2.7 GHz Intel Core i5 Dual-Core,O3,0.000574
34,2.7 GHz Intel Core i5 Dual-Core,O3,0.000620
35,2.7 GHz Intel Core i5 Dual-Core,O3,0.000655
36,2.7 GHz Intel Core i5 Dual-Core,O3,0.000678
37,2.7 GHz Intel Core i5 Dual-Core,O3,0.000721
38,2.7 GHz Intel Core i5 Dual-Core,O3,0.000754
39,2.7 GHz Intel Core i5 Dual-Core,O3,0.000803
40,2.7 GHz Intel Core i5 Dual-Core,O3,0.000880
41,2.7 GHz Intel Core i5 Dual-Core,O3,0.000904
42,2.7 GHz Intel Core i5 Dual-Core,O3,0.000933
43,2.7 GHz Intel Core i5 Dual-Core,O3,0.000995
44,2.7 GHz Intel Core i5 Dual-Core,O3,0.001060
45,2.7 GHz Intel Core i5 Dual-Core,O3,0.001088
46,2.7 GHz Intel Core i5 Dual-Core,O3,0.001114
47,2.7 GHz Intel Core i5 Dual-Core,O3,0.001250
48,2.7 GHz Intel Core i5 Dual-Core,O3,0.001535
49,2.7 GHz Intel Core i5 Dual-Core,O3,0.001510
50,2.7 GHz Intel Core i5 Dual-Core,O3,0.001492
51,2.7 GHz Intel Core i5 Dual-Core,O3,0.001456
52,2.7 GHz Intel Core i5 Dual-Core,O3,0.001448
53,2.7 GHz Intel Core i5 Dual-Core,O3,0.001535
54,2.7 GHz Intel Core i5 Dual-Core,O3,0.001671
55,2.7 GHz Intel Core i5 Dual-Core,O3,0.001855
56,2.7 GHz Intel Core i5 Dual-Core,O3,0.001700
57,2.7 GHz Intel Core i5 Dual-Core,O3,0.001743
58,2.7 GHz Intel Core i5 Dual-Core,O3,0.001800
59,2.7 GHz Intel Core i5 Dual-Core,O3,0.001965
60,2.7 GHz Intel Core i5 Dual-Core,O3,0.001950
61,2.7 GHz Intel Core i5 Dual-Core,O3,0.002070
62,2.7 GHz Intel Core i5 Dual-Core,O3,0.002030
63,2.7 GHz Intel Core i5 Dual-Core,O3,0.002088
64,2.7 GHz Intel Core i5 Dual-Core,O3,0.002155
65,2.7 GHz Intel Core i5 Dual-Core,O3,0.002237
66,2.7 GHz Intel Core i5 Dual-Core,O3,0.002321
67,2.7 GHz Intel Core i5 Dual-Core,O3,0.002442
68,2.7 GHz Intel Core i5 Dual-Core,O3,0.002472
69,2.7 GHz Intel Core i5 Dual-Core,O3,0.002584
70,2.7 GHz Intel Core i5 Dual-Core,O3,0.002652
71,2.7 GHz Intel Core i5 Dual-Core,O3,0.002690
72,2.7 GHz Intel Core i5 Dual-Core,O3,0.002751
73,2.7 GHz Intel Core i5 Dual-Core,O3,0.002811
74,2.7 GHz Intel Core i5 Dual-Core,O3,0.002883
75,2.7 GHz Intel Core i5 Dual-Core,O3,0.003001
76,2.7 GHz Intel Core i5 Dual-Core,O3,0.003066
77,2.7 GHz Intel Core i5 Dual-Core,O3,0.003156
78,2.7 GHz Intel Core i5 Dual-Core,O3,0.003229
79,2.7 GHz Intel Core i5 Dual-Core,O3,0.003305
80,2.7 GHz Intel Core i5 Dual-Core,O3,0.003562
81,2.7 GHz Intel Core i5 Dual-Core,O3,0.003945
82,2.7 GHz Intel Core i5 Dual-Core,O3,0.003809
83,2.7 GHz Intel Core i5 Dual-Core,O3,0.003777
84,2.7 GHz Intel Core i5 Dual-Core,O3,0.003751
85,2.7 GHz Intel Core i5 Dual-Core,O3,0.003829
86,2.7 GHz Intel Core i5 Dual-Core,O3,0.003949
87,2.7 GHz Intel Core i5 Dual-Core,O3,0.004229
88,2.7 GHz Intel Core i5 Dual-Core,O3,0.004308
89,2.7 GHz Intel Core i5 Dual-Core,O3,0.004324
90,2.7 GHz Intel Core i5 Dual-Core,O3,0.004425
91,2.7 GHz Intel Core i5 Dual-Core,O3,0.004579
92,2.7 GHz Intel Core i5 Dual-Core,O3,0.004791
93,2.7 GHz Intel Core i5 Dual-Core,O3,0.004713
94,2.7 GHz Intel Core i5 Dual-Core,O3,0.004823
95,2.7 GHz Intel Core i5 Dual-Core,O3,0.004902
96,2.7 GHz Intel Core i5 Dual-Core,O3,0.005176
97,2.7 GHz Intel Core i5 Dual-Core,O3,0.005185
98,2.7 GHz Intel Core i5 Dual-Core,O3,0.005341
99,2.7 GHz Intel Core i5 Dual-Core,O3,0.005538
100,2.7 GHz Intel Core i5 Dual-Core,O3,0.005481
101,2.7 GHz Intel Core i5 Dual-Core,O3,0.005652
102,2.7 GHz Intel Core i5 Dual-Core,O3,0.005780
103,2.7 GHz Intel Core i5 Dual-Core,O3,0.005907
104,2.7 GHz Intel Core i5 Dual-Core,O3,0.006011
105,2.7 GHz Intel Core i5 Dual-Core,O3,0.006173
106,2.7 GHz Intel Core i5 Dual-Core,O3,0.006250
107,2.7 GHz Intel Core i5 Dual-Core,O3,0.006339
108,2.7 GHz Intel Core i5 Dual-Core,O3,0.006378
109,2.7 GHz Intel Core i5 Dual-Core,O3,0.006643
110,2.7 GHz Intel Core i5 Dual-Core,O3,0.006638
111,2.7 GHz Intel Core i5 Dual-Core,O3,0.006634
112,2.7 GHz Intel Core i5 Dual-Core,O3,0.006675
113,2.7 GHz Intel Core i5 Dual-Core,O3,0.006894
114,2.7 GHz Intel Core i5 Dual-Core,O3,0.006984
115,2.7 GHz Intel Core i5 Dual-Core,O3,0.007041
116,2.7 GHz Intel Core i5 Dual-Core,O3,0.007138
117,2.7 GHz Intel Core i5 Dual-Core,O3,0.007263
118,2.7 GHz Intel Core i5 Dual-Core,O3,0.007330
119,2.7 GHz Intel Core i5 Dual-Core,O3,0.007548
120,2.7 GHz Intel Core i5 Dual-Core,O3,0.007743
121,2.7 GHz Intel Core i5 Dual-Core,O3,0.007982
122,2.7 GHz Intel Core i5 Dual-Core,O3,0.007985
123,2.7 GHz Intel Core i5 Dual-Core,O3,0.008452
124,2.7 GHz Intel Core i5 Dual-Core,O3,0.008479
125,2.7 GHz Intel Core i5 Dual-Core,O3,0.008283
126,2.7 GHz Intel Core i5 Dual-Core,O3,0.008443
127,2.7 GHz Intel Core i5 Dual-Core,O3,0.008487
128,2.7 GHz Intel Core i5 Dual-Core,O3,0.008672
129,2.7 GHz Intel Core i5 Dual-Core,O3,0.008921
130,2.7 GHz Intel Core i5 Dual-Core,O3,0.009024
131,2.7 GHz Intel Core i5 Dual-Core,O3,0.009177
132,2.7 GHz Intel Core i5 Dual-Core,O3,0.009387
133,2.7 GHz Intel Core i5 Dual-Core,O3,0.009480
134,2.7 GHz Intel Core i5 Dual-Core,O3,0.009635
135,2.7 GHz Intel Core i5 Dual-Core,O3,0.009787
136,2.7 GHz Intel Core i5 Dual-Core,O3,0.009886
137,2.7 GHz Intel Core i5 Dual-Core,O3,0.010101
138,2.7 GHz Intel Core i5 Dual-Core,O3,0.010124
139,2.7 GHz Intel Core i5 Dual-Core,O3,0.010619
140,2.7 GHz Intel Core i5 Dual-Core,O3,0.010337
141,2.7 GHz Intel Core i5 Dual-Core,O3,0.010535
142,2.7 GHz Intel Core i5 Dual-Core,O3,0.010644
143,2.7 GHz Intel Core i5 Dual-Core,O3,0.010816
144,2.7 GHz Intel Core i5 Dual-Core,O3,0.010918
145,2.7 GHz Intel Core i5 Dual-Core,O3,0.011087
146,2.7 GHz Intel Core i5 Dual-Core,O3,0.011316
147,2.7 GHz Intel Core i5 Dual-Core,O3,0.011583
148,2.7 GHz Intel Core i5 Dual-Core,O3,0.011694
149,2.7 GHz Intel Core i5 Dual-Core,O3,0.012671
150,2.7 GHz Intel Core i5 Dual-Core,O3,0.012026
151,2.7 GHz Intel Core i5 Dual-Core,O3,0.012202
152,2.7 GHz Intel Core i5 Dual-Core,O3,0.012314
153,2.7 GHz Intel Core i5 Dual-Core,O3,0.012366
154,2.7 GHz Intel Core i5 Dual-Core,O3,0.012501
155,2.7 GHz Intel Core i5 Dual-Core,O3,0.012823
156,2.7 GHz Intel Core i5 Dual-Core,O3,0.013039
157,2.7 GHz Intel Core i5 Dual-Core,O3,0.013308
158,2.7 GHz Intel Core i5 Dual-Core,O3,0.013374
159,2.7 GHz Intel Core i5 Dual-Core,O3,0.013489
160,2.7 GHz Intel Core i5 Dual-Core,O3,0.013691
161,2.7 GHz Intel Core i5 Dual-Core,O3,0.013920
162,2.7 GHz Intel Core i5 Dual-Core,O3,0.014106
163,2.7 GHz Intel Core i5 Dual-Core,O3,0.014077
164,2.7 GHz Intel Core i5 Dual-Core,O3,0.014141
165,2.7 GHz Intel Core i5 Dual-Core,O3,0.014333
166,2.7 GHz Intel Core i5 Dual-Core,O3,0.014779
167,2.7 GHz Intel Core i5 Dual-Core,O3,0.015239
168,2.7 GHz Intel Core i5 Dual-Core,O3,0.015149
169,2.7 GHz Intel Core i5 Dual-Core,O3,0.015312
170,2.7 GHz Intel Core i5 Dual-Core,O3,0.015388
171,2.7 GHz Intel Core i5 Dual-Core,O3,0.015480
172,2.7 GHz Intel Core i5 Dual-Core,O3,0.015679
173,2.7 GHz Intel Core i5 Dual-Core,O3,0.015808
174,2.7 GHz Intel Core i5 Dual-Core,O3,0.016023
175,2.7 GHz Intel Core i5 Dual-Core,O3,0.016157
176,2.7 GHz Intel Core i5 Dual-Core,O3,0.016453
177,2.7 GHz Intel Core i5 Dual-Core,O3,0.016622
178,2.7 GHz Intel Core i5 Dual-Core,O3,0.017245
179,2.7 GHz Intel Core i5 Dual-Core,O3,0.017224
180,2.7 GHz Intel Core i5 Dual-Core,O3,0.017317
181,2.7 GHz Intel Core i5 Dual-Core,O3,0.017500
182,2.7 GHz Intel Core i5 Dual-Core,O3,0.018204
183,2.7 GHz Intel Core i5 Dual-Core,O3,0.017971
184,2.7 GHz Intel Core i5 Dual-Core,O3,0.018032
185,2.7 GHz Intel Core i5 Dual-Core,O3,0.018380
186,2.7 GHz Intel Core i5 Dual-Core,O3,0.018549
187,2.7 GHz Intel Core i5 Dual-Core,O3,0.018770
188,2.7 GHz Intel Core i5 Dual-Core,O3,0.018926
189,2.7 GHz Intel Core i5 Dual-Core,O3,0.018962
190,2.7 GHz Intel Core i5 Dual-Core,O3,0.019318
191,2.7 GHz Intel Core i5 Dual-Core,O3,0.019565
192,2.7 GHz Intel Core i5 Dual-Core,O3,0.019772
193,2.7 GHz Intel Core i5 Dual-Core,O3,0.019558
194,2.7 GHz Intel Core i5 Dual-Core,O3,0.020060
195,2.7 GHz Intel Core i5 Dual-Core,O3,0.020879
196,2.7 GHz Intel Core i5 Dual-Core,O3,0.020324
197,2.7 GHz Intel Core i5 Dual-Core,O3,0.020547
198,2.7 GHz Intel Core i5 Dual-Core,O3,0.020977
199,2.7 GHz Intel Core i5 Dual-Core,O3,0.021200
200,2.7 GHz Intel Core i5 Dual-Core,O3,0.021466
201,2.7 GHz Intel Core i5 Dual-Core,O3,0.021517
202,2.7 GHz Intel Core i5 Dual-Core,O3,0.021518
203,2.7 GHz Intel Core i5 Dual-Core,O3,0.021855
204,2.7 GHz Intel Core i5 Dual-Core,O3,0.022169
205,2.7 GHz Intel Core i5 Dual-Core,O3,0.022582
206,2.7 GHz Intel Core i5 Dual-Core,O3,0.022893
207,2.7 GHz Intel Core i5 Dual-Core,O3,0.023430
208,2.7 GHz Intel Core i5 Dual-Core,O3,0.023054
209,2.7 GHz Intel Core i5 Dual-Core,O3,0.023112
210,2.7 GHz Intel Core i5 Dual-Core,O3,0.023292
211,2.7 GHz Intel Core i5 Dual-Core,O3,0.023558
212,2.7 GHz Intel Core i5 Dual-Core,O3,0.023953
213,2.7 GHz Intel Core i5 Dual-Core,O3,0.024154
214,2.7 GHz Intel Core i5 Dual-Core,O3,0.024316
215,2.7 GHz Intel Core i5 Dual-Core,O3,0.024549
216,2.7 GHz Intel Core i5 Dual-Core,O3,0.025002
217,2.7 GHz Intel Core i5 Dual-Core,O3,0.025804
218,2.7 GHz Intel Core i5 Dual-Core,O3,0.025475
219,2.7 GHz Intel Core i5 Dual-Core,O3,0.025754
220,2.7 GHz Intel Core i5 Dual-Core,O3,0.025894
221,2.7 GHz Intel Core i5 Dual-Core,O3,0.026077
222,2.7 GHz Intel Core i5 Dual-Core,O3,0.026586
223,2.7 GHz Intel Core i5 Dual-Core,O3,0.027039
224,2.7 GHz Intel Core i5 Dual-Core,O3,0.026963
225,2.7 GHz Intel Core i5 Dual-Core,O3,0.027080
226,2.7 GHz Intel Core i5 Dual-Core,O3,0.027808
227,2.7 GHz Intel Core i5 Dual-Core,O3,0.027727
228,2.7 GHz Intel Core i5 Dual-Core,O3,0.027878
229,2.7 GHz Intel Core i5 Dual-Core,O3,0.028155
230,2.7 GHz Intel Core i5 Dual-Core,O3,0.028392
231,2.7 GHz Intel Core i5 Dual-Core,O3,0.028301
232,2.7 GHz Intel Core i5 Dual-Core,O3,0.028466
233,2.7 GHz Intel Core i5 Dual-Core,O3,0.029074
234,2.7 GHz Intel Core i5 Dual-Core,O3,0.029131
235,2.7 GHz Intel Core i5 Dual-Core,O3,0.030383
236,2.7 GHz Intel Core i5 Dual-Core,O3,0.029883
237,2.7 GHz Intel Core i5 Dual-Core,O3,0.030104
238,2.7 GHz Intel Core i5 Dual-Core,O3,0.030377
239,2.7 GHz Intel Core i5 Dual-Core,O3,0.030800
240,2.7 GHz Intel Core i5 Dual-Core,O3,0.030317
241,2.7 GHz Intel Core i5 Dual-Core,O3,0.030818
242,2.7 GHz Intel Core i5 Dual-Core,O3,0.031223
243,2.7 GHz Intel Core i5 Dual-Core,O3,0.031989
244,2.7 GHz Intel Core i5 Dual-Core,O3,0.031472
245,2.7 GHz Intel Core i5 Dual-Core,O3,0.031543
246,2.7 GHz Intel Core i5 Dual-Core,O3,0.031805
247,2.7 GHz Intel Core i5 Dual-Core,O3,0.032114
248,2.7 GHz Intel Core i5 Dual-Core,O3,0.032994
249,2.7 GHz Intel Core i5 Dual-Core,O3,0.032983
250,2.7 GHz Intel Core i5 Dual-Core,O3,0.033386
251,2.7 GHz Intel Core i5 Dual-Core,O3,0.034056
252,2.7 GHz Intel Core i5 Dual-Core,O3,0.033778
253,2.7 GHz Intel Core i5 Dual-Core,O3,0.034244
254,2.7 GHz Intel Core i5 Dual-Core,O3,0.034609
255,2.7 GHz Intel Core i5 Dual-Core,O3,0.034824
256,2.7 GHz Intel Core i5 Dual-Core,O3,0.035015
257,2.7 GHz Intel Core i5 Dual-Core,O3,0.035042
258,2.7 GHz Intel Core i5 Dual-Core,O3,0.036136
259,2.7 GHz Intel Core i5 Dual-Core,O3,0.035933
260,2.7 GHz Intel Core i5 Dual-Core,O3,0.035984
261,2.7 GHz Intel Core i5 Dual-Core,O3,0.036433
262,2.7 GHz Intel Core i5 Dual-Core,O3,0.036246
263,2.7 GHz Intel Core i5 Dual-Core,O3,0.036843
264,2.7 GHz Intel Core i5 Dual-Core,O3,0.037057
265,2.7 GHz Intel Core i5 Dual-Core,O3,0.037775
266,2.7 GHz Intel Core i5 Dual-Core,O3,0.037933
267,2.7 GHz Intel Core i5 Dual-Core,O3,0.038037
268,2.7 GHz Intel Core i5 Dual-Core,O3,0.038383
269,2.7 GHz Intel Core i5 Dual-Core,O3,0.038698
270,2.7 GHz Intel Core i5 Dual-Core,O3,0.039155
271,2.7 GHz Intel Core i5 Dual-Core,O3,0.039920
272,2.7 GHz Intel Core i5 Dual-Core,O3,0.039305
273,2.7 GHz Intel Core i5 Dual-Core,O3,0.039456
274,2.7 GHz Intel Core i5 Dual-Core,O3,0.040201
275,2.7 GHz Intel Core i5 Dual-Core,O3,0.040312
276,2.7 GHz Intel Core i5 Dual-Core,O3,0.040644
277,2.7 GHz Intel Core i5 Dual-Core,O3,0.041808
278,2.7 GHz Intel Core i5 Dual-Core,O3,0.041067
279,2.7 GHz Intel Core i5 Dual-Core,O3,0.041102
280,2.7 GHz Intel Core i5 Dual-Core,O3,0.041794
281,2.7 GHz Intel Core i5 Dual-Core,O3,0.042249
282,2.7 GHz Intel Core i5 Dual-Core,O3,0.042598
283,2.7 GHz Intel Core i5 Dual-Core,O3,0.043176
284,2.7 GHz Intel Core i5 Dual-Core,O3,0.043083
285,2.7 GHz Intel Core i5 Dual-Core,O3,0.043422
286,2.7 GHz Intel Core i5 Dual-Core,O3,0.043745
287,2.7 GHz Intel Core i5 Dual-Core,O3,0.044589
288,2.7 GHz Intel Core i5 Dual-Core,O3,0.044178
289,2.7 GHz Intel Core i5 Dual-Core,O3,0.045206
290,2.7 GHz Intel Core i5 Dual-Core,O3,0.044902
291,2.7 GHz Intel Core i5 Dual-Core,O3,0.045531
292,2.7 GHz Intel Core i5 Dual-Core,O3,0.045789
293,2.7 GHz Intel Core i5 Dual-Core,O3,0.045973
294,2.7 GHz Intel Core i5 Dual-Core,O3,0.054538
295,2.7 GHz Intel Core i5 Dual-Core,O3,0.059594
296,2.7 GHz Intel Core i5 Dual-Core,O3,0.053195
297,2.7 GHz Intel Core i5 Dual-Core,O3,0.050040
298,2.7 GHz Intel Core i5 Dual-Core,O3,0.048590
299,2.7 GHz Intel Core i5 Dual-Core,O3,0.048727
300,2.7 GHz Intel Core i5 Dual-Core,O3,0.049613
301,2.7 GHz Intel Core i5 Dual-Core,O3,0.049607
302,2.7 GHz Intel Core i5 Dual-Core,O3,0.054139
303,2.7 GHz Intel Core i5 Dual-Core,O3,0.065063
304,2.7 GHz Intel Core i5 Dual-Core,O3,0.066732
305,2.7 GHz Intel Core i5 Dual-Core,O3,0.053742
306,2.7 GHz Intel Core i5 Dual-Core,O3,0.051457
307,2.7 GHz Intel Core i5 Dual-Core,O3,0.050357
308,2.7 GHz Intel Core i5 Dual-Core,O3,0.051662
309,2.7 GHz Intel Core i5 Dual-Core,O3,0.052344
310,2.7 GHz Intel Core i5 Dual-Core,O3,0.052631
311,2.7 GHz Intel Core i5 Dual-Core,O3,0.053203
312,2.7 GHz Intel Core i5 Dual-Core,O3,0.053567
313,2.7 GHz Intel Core i5 Dual-Core,O3,0.062480
314,2.7 GHz Intel Core i5 Dual-Core,O3,0.062314
315,2.7 GHz Intel Core i5 Dual-Core,O3,0.063484
316,2.7 GHz Intel Core i5 Dual-Core,O3,0.060013
317,2.7 GHz Intel Core i5 Dual-Core,O3,0.063409
318,2.7 GHz Intel Core i5 Dual-Core,O3,0.054961
