N,CPU,Compilation Parameter,t(s)
10,2.7 GHz Intel Core i5 Dual-Core,O0,0.000007
20,2.7 GHz Intel Core i5 Dual-Core,O0,0.000012
30,2.7 GHz Intel Core i5 Dual-Core,O0,0.000026
40,2.7 GHz Intel Core i5 Dual-Core,O0,0.000079
50,2.7 GHz Intel Core i5 Dual-Core,O0,0.000120
60,2.7 GHz Intel Core i5 Dual-Core,O0,0.000174
70,2.7 GHz Intel Core i5 Dual-Core,O0,0.000336
80,2.7 GHz Intel Core i5 Dual-Core,O0,0.000438
90,2.7 GHz Intel Core i5 Dual-Core,O0,0.000555
100,2.7 GHz Intel Core i5 Dual-Core,O0,0.000922
110,2.7 GHz Intel Core i5 Dual-Core,O0,0.001095
120,2.7 GHz Intel Core i5 Dual-Core,O0,0.001274
130,2.7 GHz Intel Core i5 Dual-Core,O0,0.001877
140,2.7 GHz Intel Core i5 Dual-Core,O0,0.002018
150,2.7 GHz Intel Core i5 Dual-Core,O0,0.002433
160,2.7 GHz Intel Core i5 Dual-Core,O0,0.002625
170,2.7 GHz Intel Core i5 Dual-Core,O0,0.003519
180,2.7 GHz Intel Core i5 Dual-Core,O0,0.004009
190,2.7 GHz Intel Core i5 Dual-Core,O0,0.004416
200,2.7 GHz Intel Core i5 Dual-Core,O0,0.005703
210,2.7 GHz Intel Core i5 Dual-Core,O0,0.006413
220,2.7 GHz Intel Core i5 Dual-Core,O0,0.009181
230,2.7 GHz Intel Core i5 Dual-Core,O0,0.013207
240,2.7 GHz Intel Core i5 Dual-Core,O0,0.009747
250,2.7 GHz Intel Core i5 Dual-Core,O0,0.010426
260,2.7 GHz Intel Core i5 Dual-Core,O0,0.012540
270,2.7 GHz Intel Core i5 Dual-Core,O0,0.013364
280,2.7 GHz Intel Core i5 Dual-Core,O0,0.014333
290,2.7 GHz Intel Core i5 Dual-Core,O0,0.017157
300,2.7 GHz Intel Core i5 Dual-Core,O0,0.018309
310,2.7 GHz Intel Core i5 Dual-Core,O0,0.019629
320,2.7 GHz Intel Core i5 Dual-Core,O0,0.021868
330,2.7 GHz Intel Core i5 Dual-Core,O0,0.024806
340,2.7 GHz Intel Core i5 Dual-Core,O0,0.026390
350,2.7 GHz Intel Core i5 Dual-Core,O0,0.027953
360,2.7 GHz Intel Core i5 Dual-Core,O0,0.032002
370,2.7 GHz Intel Core i5 Dual-Core,O0,0.034320
380,2.7 GHz Intel Core i5 Dual-Core,O0,0.037202
390,2.7 GHz Intel Core i5 Dual-Core,O0,0.046856
400,2.7 GHz Intel Core i5 Dual-Core,O0,0.043593
410,2.7 GHz Intel Core i5 Dual-Core,O0,0.047648
420,2.7 GHz Intel Core i5 Dual-Core,O0,0.054270
430,2.7 GHz Intel Core i5 Dual-Core,O0,0.055716
440,2.7 GHz Intel Core i5 Dual-Core,O0,0.058419
450,2.7 GHz Intel Core i5 Dual-Core,O0,0.065260
460,2.7 GHz Intel Core i5 Dual-Core,O0,0.070721
470,2.7 GHz Intel Core i5 Dual-Core,O0,0.080059
480,2.7 GHz Intel Core i5 Dual-Core,O0,0.080244
490,2.7 GHz Intel Core i5 Dual-Core,O0,0.086936
500,2.7 GHz Intel Core i5 Dual-Core,O0,0.092442
