N,CPU,Compilation Parameter,t(s)
10,2.7 GHz Intel Core i5 Dual-Core,O1,0.000005
20,2.7 GHz Intel Core i5 Dual-Core,O1,0.000004
30,2.7 GHz Intel Core i5 Dual-Core,O1,0.000009
40,2.7 GHz Intel Core i5 Dual-Core,O1,0.000020
50,2.7 GHz Intel Core i5 Dual-Core,O1,0.000028
60,2.7 GHz Intel Core i5 Dual-Core,O1,0.000039
70,2.7 GHz Intel Core i5 Dual-Core,O1,0.000064
80,2.7 GHz Intel Core i5 Dual-Core,O1,0.000086
90,2.7 GHz Intel Core i5 Dual-Core,O1,0.000107
100,2.7 GHz Intel Core i5 Dual-Core,O1,0.000160
110,2.7 GHz Intel Core i5 Dual-Core,O1,0.000198
120,2.7 GHz Intel Core i5 Dual-Core,O1,0.000231
130,2.7 GHz Intel Core i5 Dual-Core,O1,0.000324
140,2.7 GHz Intel Core i5 Dual-Core,O1,0.000429
150,2.7 GHz Intel Core i5 Dual-Core,O1,0.000525
160,2.7 GHz Intel Core i5 Dual-Core,O1,0.000584
170,2.7 GHz Intel Core i5 Dual-Core,O1,0.000707
180,2.7 GHz Intel Core i5 Dual-Core,O1,0.000841
190,2.7 GHz Intel Core i5 Dual-Core,O1,0.000921
200,2.7 GHz Intel Core i5 Dual-Core,O1,0.001088
210,2.7 GHz Intel Core i5 Dual-Core,O1,0.001187
220,2.7 GHz Intel Core i5 Dual-Core,O1,0.001467
230,2.7 GHz Intel Core i5 Dual-Core,O1,0.001598
240,2.7 GHz Intel Core i5 Dual-Core,O1,0.001804
250,2.7 GHz Intel Core i5 Dual-Core,O1,0.001908
260,2.7 GHz Intel Core i5 Dual-Core,O1,0.002660
270,2.7 GHz Intel Core i5 Dual-Core,O1,0.002432
280,2.7 GHz Intel Core i5 Dual-Core,O1,0.003501
290,2.7 GHz Intel Core i5 Dual-Core,O1,0.007302
300,2.7 GHz Intel Core i5 Dual-Core,O1,0.003749
310,2.7 GHz Intel Core i5 Dual-Core,O1,0.006185
320,2.7 GHz Intel Core i5 Dual-Core,O1,0.005579
330,2.7 GHz Intel Core i5 Dual-Core,O1,0.004534
340,2.7 GHz Intel Core i5 Dual-Core,O1,0.004980
350,2.7 GHz Intel Core i5 Dual-Core,O1,0.005230
360,2.7 GHz Intel Core i5 Dual-Core,O1,0.007132
370,2.7 GHz Intel Core i5 Dual-Core,O1,0.006922
380,2.7 GHz Intel Core i5 Dual-Core,O1,0.007106
390,2.7 GHz Intel Core i5 Dual-Core,O1,0.007999
400,2.7 GHz Intel Core i5 Dual-Core,O1,0.008529
410,2.7 GHz Intel Core i5 Dual-Core,O1,0.009439
420,2.7 GHz Intel Core i5 Dual-Core,O1,0.010467
430,2.7 GHz Intel Core i5 Dual-Core,O1,0.010734
440,2.7 GHz Intel Core i5 Dual-Core,O1,0.010981
450,2.7 GHz Intel Core i5 Dual-Core,O1,0.011974
460,2.7 GHz Intel Core i5 Dual-Core,O1,0.012916
470,2.7 GHz Intel Core i5 Dual-Core,O1,0.013875
480,2.7 GHz Intel Core i5 Dual-Core,O1,0.014706
490,2.7 GHz Intel Core i5 Dual-Core,O1,0.017011
500,2.7 GHz Intel Core i5 Dual-Core,O1,0.018389
