N,CPU,Compilation Parameter,t(s)
10,2.7 GHz Intel Core i5 Dual-Core,O1,0.000010
20,2.7 GHz Intel Core i5 Dual-Core,O1,0.000014
30,2.7 GHz Intel Core i5 Dual-Core,O1,0.000014
40,2.7 GHz Intel Core i5 Dual-Core,O1,0.000062
50,2.7 GHz Intel Core i5 Dual-Core,O1,0.000063
60,2.7 GHz Intel Core i5 Dual-Core,O1,0.000056
70,2.7 GHz Intel Core i5 Dual-Core,O1,0.000211
80,2.7 GHz Intel Core i5 Dual-Core,O1,0.000174
90,2.7 GHz Intel Core i5 Dual-Core,O1,0.000177
100,2.7 GHz Intel Core i5 Dual-Core,O1,0.000384
110,2.7 GHz Intel Core i5 Dual-Core,O1,0.000422
120,2.7 GHz Intel Core i5 Dual-Core,O1,0.000390
130,2.7 GHz Intel Core i5 Dual-Core,O1,0.000760
140,2.7 GHz Intel Core i5 Dual-Core,O1,0.000714
150,2.7 GHz Intel Core i5 Dual-Core,O1,0.000774
160,2.7 GHz Intel Core i5 Dual-Core,O1,0.000759
170,2.7 GHz Intel Core i5 Dual-Core,O1,0.001454
180,2.7 GHz Intel Core i5 Dual-Core,O1,0.001122
190,2.7 GHz Intel Core i5 Dual-Core,O1,0.001285
200,2.7 GHz Intel Core i5 Dual-Core,O1,0.001645
210,2.7 GHz Intel Core i5 Dual-Core,O1,0.001748
220,2.7 GHz Intel Core i5 Dual-Core,O1,0.001699
230,2.7 GHz Intel Core i5 Dual-Core,O1,0.002550
240,2.7 GHz Intel Core i5 Dual-Core,O1,0.003162
250,2.7 GHz Intel Core i5 Dual-Core,O1,0.002536
260,2.7 GHz Intel Core i5 Dual-Core,O1,0.003503
270,2.7 GHz Intel Core i5 Dual-Core,O1,0.005902
280,2.7 GHz Intel Core i5 Dual-Core,O1,0.003400
290,2.7 GHz Intel Core i5 Dual-Core,O1,0.006112
300,2.7 GHz Intel Core i5 Dual-Core,O1,0.005286
310,2.7 GHz Intel Core i5 Dual-Core,O1,0.005083
320,2.7 GHz Intel Core i5 Dual-Core,O1,0.005489
330,2.7 GHz Intel Core i5 Dual-Core,O1,0.007400
340,2.7 GHz Intel Core i5 Dual-Core,O1,0.006325
350,2.7 GHz Intel Core i5 Dual-Core,O1,0.006761
360,2.7 GHz Intel Core i5 Dual-Core,O1,0.008503
370,2.7 GHz Intel Core i5 Dual-Core,O1,0.009803
380,2.7 GHz Intel Core i5 Dual-Core,O1,0.009259
390,2.7 GHz Intel Core i5 Dual-Core,O1,0.011628
400,2.7 GHz Intel Core i5 Dual-Core,O1,0.010562
410,2.7 GHz Intel Core i5 Dual-Core,O1,0.011201
420,2.7 GHz Intel Core i5 Dual-Core,O1,0.012976
430,2.7 GHz Intel Core i5 Dual-Core,O1,0.014117
440,2.7 GHz Intel Core i5 Dual-Core,O1,0.013153
450,2.7 GHz Intel Core i5 Dual-Core,O1,0.016525
460,2.7 GHz Intel Core i5 Dual-Core,O1,0.015722
470,2.7 GHz Intel Core i5 Dual-Core,O1,0.016709
480,2.7 GHz Intel Core i5 Dual-Core,O1,0.015801
490,2.7 GHz Intel Core i5 Dual-Core,O1,0.020230
500,2.7 GHz Intel Core i5 Dual-Core,O1,0.019096
